sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
92;SDS011;16232;48.800;9.002;2023-01-01T07:22:08;3.10;;;2.43;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:24:36;4.23;;;2.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:27:04;3.73;;;2.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:29:31;3.13;;;1.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:31:59;3.03;;;2.07;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:34:28;2.97;;;2.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:36:55;4.40;;;2.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:39:23;3.87;;;2.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:41:50;3.13;;;2.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:44:17;4.80;;;2.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:46:45;3.43;;;2.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:49:12;3.90;;;2.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:51:41;4.43;;;2.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:54:09;2.83;;;2.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:56:36;3.90;;;2.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:59:04;4.80;;;2.63;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:01:33;4.57;;;2.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:04:01;3.83;;;2.40;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:06:28;5.90;;;3.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:08:57;4.40;;;2.60;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:11:24;3.73;;;2.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:13:52;4.57;;;2.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:16:20;5.77;;;3.17;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:18:50;4.60;;;2.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:21:17;5.90;;;3.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:23:45;3.43;;;3.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:26:14;5.00;;;3.23;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:28:42;7.83;;;3.60;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:31:09;3.87;;;3.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:33:37;5.17;;;3.47;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:36:04;5.60;;;3.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:38:32;3.97;;;3.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:40:59;6.47;;;3.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:43:28;7.37;;;3.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:45:55;4.03;;;3.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:48:23;6.17;;;3.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:50:51;4.83;;;3.73;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:53:18;4.03;;;3.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:55:53;5.67;;;3.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T08:58:21;5.23;;;3.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:00:50;5.70;;;3.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:03:17;4.97;;;3.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:05:45;5.13;;;3.67;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:08:12;6.50;;;3.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:10:40;3.77;;;3.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:13:08;4.60;;;3.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:15:35;4.40;;;3.77;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:18:04;6.20;;;3.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:20:32;6.10;;;4.07;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:22:59;5.53;;;3.47;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:25:27;8.73;;;5.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:27:55;7.47;;;3.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:30:23;6.07;;;3.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:32:50;6.93;;;3.67;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:35:19;6.40;;;3.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:37:46;4.40;;;3.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:40:20;6.10;;;3.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:42:50;3.83;;;3.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:45:20;5.17;;;3.67;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:47:50;6.23;;;3.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:50:20;5.53;;;3.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:52:49;5.60;;;3.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:55:21;4.27;;;3.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T09:57:50;5.63;;;3.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:00:17;3.77;;;3.47;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:05:32;5.83;;;3.73;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:08:02;3.93;;;3.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:10:34;5.03;;;3.40;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:13:06;4.30;;;3.40;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:15:38;5.30;;;3.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:18:08;6.20;;;3.63;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:20:43;4.90;;;3.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:23:13;4.33;;;3.23;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:25:41;4.73;;;3.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:28:11;5.57;;;3.40;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:30:40;5.37;;;3.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:33:07;4.03;;;3.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:35:38;4.23;;;3.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:38:09;4.00;;;2.77;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:40:41;5.03;;;3.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:43:08;5.57;;;3.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:45:38;6.90;;;3.77;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:48:10;4.10;;;2.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:50:42;4.40;;;3.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:53:22;4.03;;;2.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:55:51;5.80;;;3.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T10:58:24;4.70;;;2.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:01:02;4.67;;;3.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:03:30;4.60;;;3.40;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:06:01;6.87;;;3.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:08:31;5.00;;;3.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:11:00;3.50;;;2.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:13:28;5.20;;;3.47;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:15:56;5.53;;;2.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:18:24;5.50;;;3.17;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:20:57;5.07;;;2.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:23:29;3.30;;;2.63;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:26:00;3.87;;;2.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:28:28;5.23;;;2.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:31:05;4.53;;;2.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:33:34;4.70;;;3.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:36:02;4.47;;;2.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:38:30;3.40;;;2.47;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:41:02;4.23;;;2.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:43:32;4.27;;;2.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:46:04;4.20;;;2.63;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:48:32;3.53;;;2.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:51:01;6.00;;;2.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:53:30;4.80;;;2.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:55:59;3.03;;;2.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T11:58:31;3.80;;;2.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:01:01;5.83;;;2.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:03:31;3.40;;;2.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:06:01;3.63;;;1.63;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:08:31;3.67;;;1.77;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:11:01;4.07;;;2.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:13:32;4.07;;;1.97;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:16:03;4.20;;;1.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:18:34;4.17;;;2.07;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:21:08;3.77;;;1.97;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:23:38;3.80;;;1.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:26:09;4.17;;;2.23;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:28:39;4.30;;;2.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:31:11;3.23;;;1.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:33:52;3.90;;;2.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:36:24;4.10;;;2.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:39:15;3.90;;;1.77;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:41:54;6.57;;;2.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:44:28;5.03;;;2.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T12:47:00;4.33;;;1.97;;
